COLLNUM,Taxon.Name,CATNUM,PRESTYPE,STATUS,ORIGLOCAL,Locality.Selector,LocalityQualifier,ISGPPROV,COLLECTOR,DATECOLL1,gps,elevation,country,province,locality,site,lat,lon,gps_raw,A or B?
FK 13142,Oreophryne anamiatoi,33774,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Point 22 (5.64509° S, 142.63618° E, 1874 m) = from F Kraus field catalogue",Point 22 {Papua New Guinea: Southern Highlands Prov.: Point 22    :    1874 m    :     [5.64509° S (WGS 84)]   [142.63618° E (WGS 84)].},,Southern Highlands Prov.,F Kraus,03 Apr 2009,", ",1874 m,Papua New Guinea,Southern Highlands Prov.,Point 22    ,Point 22,-5.64509,142.63618,,A
FK 13143,Oreophryne anamiatoi,33775,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Point 22 (5.64509° S, 142.63618° E, 1874 m) = from F Kraus field catalogue",Point 22 {Papua New Guinea: Southern Highlands Prov.: Point 22    :    1874 m    :     [5.64509° S (WGS 84)]   [142.63618° E (WGS 84)].},,Southern Highlands Prov.,F Kraus,03 Apr 2009,", ",1874 m,Papua New Guinea,Southern Highlands Prov.,Point 22    ,Point 22,-5.64509,142.63618,,A
FK 13144,Oreophryne anamiatoi,33776,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Point 22 (5.64509° S, 142.63618° E, 1874 m) = from F Kraus field catalogue",Point 22 {Papua New Guinea: Southern Highlands Prov.: Point 22    :    1874 m    :     [5.64509° S (WGS 84)]   [142.63618° E (WGS 84)].},,Southern Highlands Prov.,F Kraus,03 Apr 2009,", ",1874 m,Papua New Guinea,Southern Highlands Prov.,Point 22    ,Point 22,-5.64509,142.63618,,A
FK 13145,Oreophryne anamiatoi,33777,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Point 22 (5.64509° S, 142.63618° E, 1874 m) = from F Kraus field catalogue",Point 22 {Papua New Guinea: Southern Highlands Prov.: Point 22    :    1874 m    :     [5.64509° S (WGS 84)]   [142.63618° E (WGS 84)].},,Southern Highlands Prov.,F Kraus,03 Apr 2009,", ",1874 m,Papua New Guinea,Southern Highlands Prov.,Point 22    ,Point 22,-5.64509,142.63618,,A
FK 13147,Oreophryne anamiatoi,33778,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Point 22 (5.64509° S, 142.63618° E, 1874 m) = from F Kraus field catalogue",Point 22 {Papua New Guinea: Southern Highlands Prov.: Point 22    :    1874 m    :     [5.64509° S (WGS 84)]   [142.63618° E (WGS 84)].},,Southern Highlands Prov.,F Kraus,03 Apr 2009,", ",1874 m,Papua New Guinea,Southern Highlands Prov.,Point 22    ,Point 22,-5.64509,142.63618,,A
FK 13148,Oreophryne anamiatoi,33779,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Point 22 (5.64509° S, 142.63618° E, 1874 m) = from F Kraus field catalogue",Point 22 {Papua New Guinea: Southern Highlands Prov.: Point 22    :    1874 m    :     [5.64509° S (WGS 84)]   [142.63618° E (WGS 84)].},,Southern Highlands Prov.,F Kraus,03 Apr 2009,", ",1874 m,Papua New Guinea,Southern Highlands Prov.,Point 22    ,Point 22,-5.64509,142.63618,,A
FK 9964,Oreophryne aurora,20521,alcoholic,installed July 2017,"Rossel Island, Damunu = F Kraus catalog.  Damunu Rest House = verbal from F Kraus.",Damunu {Papua New Guinea: Milne Bay Prov.: Rossel Island: Damunu    :    0-40 m    :    11.3650362ºS  154.0013736ºE.},,Milne Bay Prov.,G Shea and local collectors,01 May 2004,"-11.3650362, 154.0013736",0-40 m,Papua New Guinea,Milne Bay Prov.,Rossel Island,Damunu,-11.3650362,154.0013736,11.3650362ºS 154.0013736ºE,A
FK 9965,Oreophryne aurora,20522,alcoholic,installed July 2017,"Rossel Island, Damunu = F Kraus catalog.  Damunu Rest House = verbal from F Kraus.",Damunu {Papua New Guinea: Milne Bay Prov.: Rossel Island: Damunu    :    0-40 m    :    11.3650362ºS  154.0013736ºE.},,Milne Bay Prov.,G Shea and local collectors,01 May 2004,"-11.3650362, 154.0013736",0-40 m,Papua New Guinea,Milne Bay Prov.,Rossel Island,Damunu,-11.3650362,154.0013736,11.3650362ºS 154.0013736ºE,A
FK 9982,Oreophryne aurora,20523,alcoholic,installed July 2017,"Rossel Island, Cheme, 11.32312° S, 154.24285° E, 5 m. = Kraus field catalog",Cheme {Papua New Guinea: Milne Bay Prov.: Rossel Island: Cheme    :    5 m    :    11.32312ºS [11.32312° S (AGD66)]  154.24285ºE [154.24285° E (AGD66)].},,Milne Bay Prov.,"F Kraus, G Shea and local collectors",02 May 2004,"-11.32312, 154.24285",5 m,Papua New Guinea,Milne Bay Prov.,Rossel Island,Cheme,-11.32312,154.24285,11.32312ºS 154.24285ºE ,A
FK 10056,Oreophryne aurora,20524,alcoholic,installed July 2017,"Rossel Island, Cheme, 11.32312° S, 154.24285° E, 5 m. = Kraus field catalog",Cheme {Papua New Guinea: Milne Bay Prov.: Rossel Island: Cheme    :    5 m    :    11.32312ºS [11.32312° S (AGD66)]  154.24285ºE [154.24285° E (AGD66)].},,Milne Bay Prov.,"F Kraus, G Shea and local collectors",04 May 2004,"-11.32312, 154.24285",5 m,Papua New Guinea,Milne Bay Prov.,Rossel Island,Cheme,-11.32312,154.24285,11.32312ºS 154.24285ºE ,A
FK 10288,Oreophryne aurora,20525,alcoholic,installed June 2017,"Rossel Island, Jinjo. = Kraus field catalog",Jinjo {Papua New Guinea: Milne Bay Prov.: Rossel Island: Jinjo    :    0-20 m    :    11.3179347ºS  154.2353479ºE.},,Milne Bay Prov.,local collectors,09 May 2004,"-11.3179347, 154.2353479",0-20 m,Papua New Guinea,Milne Bay Prov.,Rossel Island,Jinjo,-11.3179347,154.2353479,11.3179347ºS 154.2353479ºE,A
FK 10289,Oreophryne aurora,20526,alcoholic,installed June 2017,"Rossel Island, Jinjo. = Kraus field catalog",Jinjo {Papua New Guinea: Milne Bay Prov.: Rossel Island: Jinjo    :    0-20 m    :    11.3179347ºS  154.2353479ºE.},,Milne Bay Prov.,local collectors,09 May 2004,"-11.3179347, 154.2353479",0-20 m,Papua New Guinea,Milne Bay Prov.,Rossel Island,Jinjo,-11.3179347,154.2353479,11.3179347ºS 154.2353479ºE,A
FK 10290,Oreophryne aurora,20527,alcoholic,installed June 2017,"Rossel Island, Jinjo. = Kraus field catalog",Jinjo {Papua New Guinea: Milne Bay Prov.: Rossel Island: Jinjo    :    0-20 m    :    11.3179347ºS  154.2353479ºE.},,Milne Bay Prov.,local collectors,09 May 2004,"-11.3179347, 154.2353479",0-20 m,Papua New Guinea,Milne Bay Prov.,Rossel Island,Jinjo,-11.3179347,154.2353479,11.3179347ºS 154.2353479ºE,A
FK 10291,Oreophryne aurora,20528,alcoholic,installed June 2017,"Rossel Island, Jinjo. = Kraus field catalog",Jinjo {Papua New Guinea: Milne Bay Prov.: Rossel Island: Jinjo    :    0-20 m    :    11.3179347ºS  154.2353479ºE.},,Milne Bay Prov.,local collectors,09 May 2004,"-11.3179347, 154.2353479",0-20 m,Papua New Guinea,Milne Bay Prov.,Rossel Island,Jinjo,-11.3179347,154.2353479,11.3179347ºS 154.2353479ºE,A
FK 10418,Oreophryne aurora,20529,alcoholic,installed June 2017,"Rossel Island, Gobubob, 11.33535° S, 154.22226° E [Aus66], 275 m. = Kraus field catalog","Mt. Rossel, Gobubob (Pt. 35) {Papua New Guinea: Milne Bay Prov.: Rossel Island: Mt. Rossel, Gobubob (Pt. 35)    :    275 m    :    11.33535ºS [11.33535° S (AGD66)]  154.22226ºE [154.22226° E (AGD66)].}",,Milne Bay Prov.,"F Kraus, F Malesa and local collectors",14 May 2004,"-11.33535, 154.22226",275 m,Papua New Guinea,Milne Bay Prov.,Rossel Island,"Mt. Rossel, Gobubob (Pt. 35)",-11.33535,154.22226,11.33535ºS 154.22226ºE ,A
FK 10431,Oreophryne aurora,20530,alcoholic,installed June 2017,"Rossel Island, Vieli, 11.33662° S, 154.22362° E [Aus66], 235 m. = Kraus field catalog","Mt. Rossel, Vieli (Pt. 34) {Papua New Guinea: Milne Bay Prov.: Rossel Island: Mt. Rossel, Vieli (Pt. 34)    :    235 m    :    11.33662ºS [11.33662° S (AGD66)]  154.22362ºE [154.22362° E (AGD66)].}",,Milne Bay Prov.,"F Kraus, F Malesa and local collectors",14 May 2004,"-11.33662, 154.22362",235 m,Papua New Guinea,Milne Bay Prov.,Rossel Island,"Mt. Rossel, Vieli (Pt. 34)",-11.33662,154.22362,11.33662ºS 154.22362ºE ,A
AA 11851,Oreophryne biroi,14509,alcoholic,"installed, Jun 2002","Trifas = Allison catalog.   5.9 km N, 7.3 km E Utai, 320m.  3.333S 141.651E = from bird & mammal locals master list for Bewani Exp. compiled by A Engilis, Jr.","Trefas Village, 5.9 km N, 7.3 km E of Utai {Papua New Guinea: West Sepik Prov.: Trefas Village, 5.9 km N, 7.3 km E of Utai    :    320 m    :    3.333ºS [3.333S]  141.651ºE [141.651E].}",,West Sepik Prov.,A Allison,02 Oct 1986,"-3.333, 141.651",320 m,Papua New Guinea,West Sepik Prov.,"Trefas Village, 5.9 km N, 7.3 km E of Utai    ","Trefas Village, 5.9 km N, 7.3 km E of Utai",-3.333,141.651,3.333ºS 141.651ºE ,A
AA 11852,Oreophryne biroi,14510,alcoholic,"installed, Jun 2002","Trifas = Allison catalog.   5.9 km N, 7.3 km E Utai, 320m.  3.333S 141.651E = from bird & mammal locals master list for Bewani Exp. compiled by A Engilis, Jr.","Trefas Village, 5.9 km N, 7.3 km E of Utai {Papua New Guinea: West Sepik Prov.: Trefas Village, 5.9 km N, 7.3 km E of Utai    :    320 m    :    3.333ºS [3.333S]  141.651ºE [141.651E].}",,West Sepik Prov.,A Allison,02 Oct 1986,"-3.333, 141.651",320 m,Papua New Guinea,West Sepik Prov.,"Trefas Village, 5.9 km N, 7.3 km E of Utai    ","Trefas Village, 5.9 km N, 7.3 km E of Utai",-3.333,141.651,3.333ºS 141.651ºE ,A
AA 11853,Oreophryne biroi,14511,alcoholic,"installed, Jun 2002","Trifas = Allison catalog.   5.9 km N, 7.3 km E Utai, 320m.  3.333S 141.651E = from bird & mammal locals master list for Bewani Exp. compiled by A Engilis, Jr.","Trefas Village, 5.9 km N, 7.3 km E of Utai {Papua New Guinea: West Sepik Prov.: Trefas Village, 5.9 km N, 7.3 km E of Utai    :    320 m    :    3.333ºS [3.333S]  141.651ºE [141.651E].}",,West Sepik Prov.,A Allison,02 Oct 1986,"-3.333, 141.651",320 m,Papua New Guinea,West Sepik Prov.,"Trefas Village, 5.9 km N, 7.3 km E of Utai    ","Trefas Village, 5.9 km N, 7.3 km E of Utai",-3.333,141.651,3.333ºS 141.651ºE ,A
FK 11749,Oreophryne biroi,22786,alcoholic,installed June 2017,"West Sepik Prov., Torricelli Mtns., Camp 1, 3.39329° S, 142.52826° E (AGD66), 550 m = F Kraus field catalog","Torricelli Mtns., 3.2 km SSE Mt. Sapau summit, (Camp 1) {Papua New Guinea: West Sepik Prov.: Torricelli Mtns., 3.2 km SSE Mt. Sapau summit, (Camp 1)    :    550 m    :    3.39329ºS  142.52826ºE.}",,West Sepik Prov.,F Kraus,25 May 2005,"-3.39329, 142.52826",550 m,Papua New Guinea,West Sepik Prov.,"Torricelli Mtns., 3.2 km SSE Mt. Sapau summit, (Camp 1)    ","Torricelli Mtns., 3.2 km SSE Mt. Sapau summit, (Camp 1)",-3.39329,142.52826,3.39329ºS 142.52826ºE,A
AA 13676,Oreophryne biroi,23481,alcoholic,"installed, Aug 2006","Camp 4, Hunstein Mts., East Sepik Province, Papua New Guinea = Allison catalog.  Papua New Guinea, East Sepik Prov., Hunstein Range, 1.3 km. S & 2.3 km. E Mt. Hunstein summit, (Camp 4), 1000 m.  =  master list of Hunstein River Exp. collection localities","Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4) {Papua New Guinea: East Sepik Prov.: Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)    :    1000 m    :    4.5226449ºS  142.6747747ºE.}",,East Sepik Prov.,A Allison,26 Sep 1989,"-4.5226449, 142.6747747",1000 m,Papua New Guinea,East Sepik Prov.,"Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)    ","Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)",-4.5226449,142.6747747,4.5226449ºS 142.6747747ºE,A
AA 13692,Oreophryne biroi,23482,alcoholic,"installed, Aug 2006","Camp 4, Hunstein Mts., East Sepik Prov., Papua New Guinea  = Allison catalog.  Papua New Guinea, East Sepik Prov., Hunstein Range, 1.3 km. S & 2.3 km. E Mt. Hunstein summit, (Camp 4), 1000 m.  =  master list of Hunstein River Exp. collection localities (s","Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4) {Papua New Guinea: East Sepik Prov.: Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)    :    1000 m    :    4.5226449ºS  142.6747747ºE.}",,East Sepik Prov.,A Allison,26 Sep 1989,"-4.5226449, 142.6747747",1000 m,Papua New Guinea,East Sepik Prov.,"Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)    ","Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)",-4.5226449,142.6747747,4.5226449ºS 142.6747747ºE,A
AA 13793,Oreophryne biroi,23483,alcoholic,"installed, Aug 2006","Camp 4, Hunstein Range, East Sepik Prov., Papua New Guinea = Allison catalog.  Papua New Guinea, East Sepik Prov., Hunstein Range, 1.3 km. S & 2.3 km. E Mt. Hunstein summit, (Camp 4), 1000 m.  =  master list of Hunstein River Exp. collection localities (s","Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4) {Papua New Guinea: East Sepik Prov.: Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)    :    1000 m    :    4.5226449ºS  142.6747747ºE.}",,East Sepik Prov.,A Allison,30 Sep 1989,"-4.5226449, 142.6747747",1000 m,Papua New Guinea,East Sepik Prov.,"Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)    ","Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)",-4.5226449,142.6747747,4.5226449ºS 142.6747747ºE,A
AA 13841,Oreophryne biroi,23484,alcoholic,"installed, Aug 2006","Camp 4  = Allison catalog.   Papua New Guinea, East Sepik Prov., Hunstein Range, 1.3 km. S & 2.3 km. E Mt. Hunstein summit, (Camp 4), 1000 m.  =  master list of Hunstein River Exp. collection localities (see acc'n file and Vert Zoo map collection).","Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4) {Papua New Guinea: East Sepik Prov.: Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)    :    1000 m    :    4.5226449ºS  142.6747747ºE.}",,East Sepik Prov.,A Allison,02 Oct 1989,"-4.5226449, 142.6747747",1000 m,Papua New Guinea,East Sepik Prov.,"Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)    ","Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)",-4.5226449,142.6747747,4.5226449ºS 142.6747747ºE,A
AA 13842,Oreophryne biroi,23485,alcoholic,"installed, Aug 2006","Camp 4  = Allison catalog.   Papua New Guinea, East Sepik Prov., Hunstein Range, 1.3 km. S & 2.3 km. E Mt. Hunstein summit, (Camp 4), 1000 m.  =  master list of Hunstein River Exp. collection localities (see acc'n file and Vert Zoo map collection).","Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4) {Papua New Guinea: East Sepik Prov.: Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)    :    1000 m    :    4.5226449ºS  142.6747747ºE.}",,East Sepik Prov.,A Allison,02 Oct 1989,"-4.5226449, 142.6747747",1000 m,Papua New Guinea,East Sepik Prov.,"Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)    ","Hunstein Range, 1.3 km S, 2.3 km E of Mt. Hunstein summit, (Camp 4)",-4.5226449,142.6747747,4.5226449ºS 142.6747747ºE,A
AA 19066,Oreophryne biroi,31876,alcoholic,"installed, Jul 2009",Cliffside Camp = from AA electronic catalogue,"Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga {Papua New Guinea: Morobe Prov.: Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga, Cliffside Camp    :    500 m    :    7.295997634ºS  147.092878935ºE.}",Cliffside Camp,Morobe Prov.,A Allison,21 Feb 2008,"-7.295997634, 147.092878935",500 m,Papua New Guinea,Morobe Prov.,"Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga, Cliffside Camp    ","Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga",-7.295997634,147.0928789,7.295997634ºS 147.092878935ºE,A
FK 13553,Oreophryne biroi,34688,alcoholic + alc gut,installed June 2017,"East Sepik Prov., Mindangua Stream, 3° 36.339' S, 143° 29.527' E, 410 m = from F Kraus field  notes",Mindangua Stream {Papua New Guinea: East Sepik Prov.: Mindangua Stream    :    410 m    :    3.60565ºS [3° 36.339' S (AGD 84)]  143.49212ºE [143° 29.527' E (AGD 84)].},,East Sepik Prov.,F Kraus,21 Sep 2009,"-3.60565, 143.49212",410 m,Papua New Guinea,East Sepik Prov.,Mindangua Stream    ,Mindangua Stream,-3.60565,143.49212,3.60565ºS 143.49212ºE ,A
FK 13801,Oreophryne biroi,34689,alcoholic + alc gut,installed June 2017,"Madang Prov., Keki Lodge, 4° 42.291' S, 145° 24.251' E, 854 m = from F Kraus field notes",Keki Lodge {Papua New Guinea: Madang Prov.: Keki Lodge    :    854 m    :    4.70485ºS [4° 42.591' S (AGD 84)]  145.40418ºE [145° 24.251' E (AGD 84)].},,Madang Prov.,F Kraus,02 Oct 2009,"-4.70485, 145.40418",854 m,Papua New Guinea,Madang Prov.,Keki Lodge    ,Keki Lodge,-4.70485,145.40418,4.70485ºS 145.40418ºE ,A
FK 13802,Oreophryne biroi,34690,alcoholic + alc gut,installed June 2017,"Madang Prov., Keki Lodge, 4° 42.291' S, 145° 24.251' E, 854 m = from F Kraus field notes",Keki Lodge {Papua New Guinea: Madang Prov.: Keki Lodge    :    854 m    :    4.70485ºS [4° 42.591' S (AGD 84)]  145.40418ºE [145° 24.251' E (AGD 84)].},,Madang Prov.,F Kraus,02 Oct 2009,"-4.70485, 145.40418",854 m,Papua New Guinea,Madang Prov.,Keki Lodge    ,Keki Lodge,-4.70485,145.40418,4.70485ºS 145.40418ºE ,A
FK 13803,Oreophryne biroi,34691,alcoholic + alc gut,installed June 2017,"Madang Prov., Keki Lodge, 4° 42.291' S, 145° 24.251' E, 854 m = from F Kraus field notes",Keki Lodge {Papua New Guinea: Madang Prov.: Keki Lodge    :    854 m    :    4.70485ºS [4° 42.591' S (AGD 84)]  145.40418ºE [145° 24.251' E (AGD 84)].},,Madang Prov.,F Kraus,02 Oct 2009,"-4.70485, 145.40418",854 m,Papua New Guinea,Madang Prov.,Keki Lodge    ,Keki Lodge,-4.70485,145.40418,4.70485ºS 145.40418ºE ,A
